 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[196] PC=0x0005 A=0xFB HL=0x0000 BC=0x68FA DE=0x0000 SP=0xFFFF OP=0x78
[197] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FA DE=0x0000 SP=0xFFFF OP=0xB1
[198] PC=0x0007 A=0xFA HL=0x0000 BC=0x68FA DE=0x0000 SP=0xFFFF OP=0x20
[199] PC=0x0004 A=0xFA HL=0x0000 BC=0x68FA DE=0x0000 SP=0xFFFF OP=0x0B
[200] PC=0x0005 A=0xFA HL=0x0000 BC=0x68F9 DE=0x0000 SP=0xFFFF OP=0x78
[201] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F9 DE=0x0000 SP=0xFFFF OP=0xB1
[202] PC=0x0007 A=0xF9 HL=0x0000 BC=0x68F9 DE=0x0000 SP=0xFFFF OP=0x20
[203] PC=0x0004 A=0xF9 HL=0x0000 BC=0x68F9 DE=0x0000 SP=0xFFFF OP=0x0B
[204] PC=0x0005 A=0xF9 HL=0x0000 BC=0x68F8 DE=0x0000 SP=0xFFFF OP=0x78
[205] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F8 DE=0x0000 SP=0xFFFF OP=0xB1
[206] PC=0x0007 A=0xF8 HL=0x0000 BC=0x68F8 DE=0x0000 SP=0xFFFF OP=0x20
[207] PC=0x0004 A=0xF8 HL=0x0000 BC=0x68F8 DE=0x0000 SP=0xFFFF OP=0x0B
[208] PC=0x0005 A=0xF8 HL=0x0000 BC=0x68F7 DE=0x0000 SP=0xFFFF OP=0x78
[209] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F7 DE=0x0000 SP=0xFFFF OP=0xB1
[210] PC=0x0007 A=0xFF HL=0x0000 BC=0x68F7 DE=0x0000 SP=0xFFFF OP=0x20
[211] PC=0x0004 A=0xFF HL=0x0000 BC=0x68F7 DE=0x0000 SP=0xFFFF OP=0x0B
[212] PC=0x0005 A=0xFF HL=0x0000 BC=0x68F6 DE=0x0000 SP=0xFFFF OP=0x78
[213] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F6 DE=0x0000 SP=0xFFFF OP=0xB1
[214] PC=0x0007 A=0xFE HL=0x0000 BC=0x68F6 DE=0x0000 SP=0xFFFF OP=0x20
[215] PC=0x0004 A=0xFE HL=0x0000 BC=0x68F6 DE=0x0000 SP=0xFFFF OP=0x0B
[216] PC=0x0005 A=0xFE HL=0x0000 BC=0x68F5 DE=0x0000 SP=0xFFFF OP=0x78
[217] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F5 DE=0x0000 SP=0xFFFF OP=0xB1
[218] PC=0x0007 A=0xFD HL=0x0000 BC=0x68F5 DE=0x0000 SP=0xFFFF OP=0x20
[219] PC=0x0004 A=0xFD HL=0x0000 BC=0x68F5 DE=0x0000 SP=0xFFFF OP=0x0B
[220] PC=0x0005 A=0xFD HL=0x0000 BC=0x68F4 DE=0x0000 SP=0xFFFF OP=0x78
[221] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F4 DE=0x0000 SP=0xFFFF OP=0xB1
[222] PC=0x0007 A=0xFC HL=0x0000 BC=0x68F4 DE=0x0000 SP=0xFFFF OP=0x20
[223] PC=0x0004 A=0xFC HL=0x0000 BC=0x68F4 DE=0x0000 SP=0xFFFF OP=0x0B
[224] PC=0x0005 A=0xFC HL=0x0000 BC=0x68F3 DE=0x0000 SP=0xFFFF OP=0x78
[225] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F3 DE=0x0000 SP=0xFFFF OP=0xB1
[226] PC=0x0007 A=0xFB HL=0x0000 BC=0x68F3 DE=0x0000 SP=0xFFFF OP=0x20
[227] PC=0x0004 A=0xFB HL=0x0000 BC=0x68F3 DE=0x0000 SP=0xFFFF OP=0x0B
[228] PC=0x0005 A=0xFB HL=0x0000 BC=0x68F2 DE=0x0000 SP=0xFFFF OP=0x78
[229] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F2 DE=0x0000 SP=0xFFFF OP=0xB1
[230] PC=0x0007 A=0xFA HL=0x0000 BC=0x68F2 DE=0x0000 SP=0xFFFF OP=0x20
[231] PC=0x0004 A=0xFA HL=0x0000 BC=0x68F2 DE=0x0000 SP=0xFFFF OP=0x0B
[232] PC=0x0005 A=0xFA HL=0x0000 BC=0x68F1 DE=0x0000 SP=0xFFFF OP=0x78
[233] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F1 DE=0x0000 SP=0xFFFF OP=0xB1
[234] PC=0x0007 A=0xF9 HL=0x0000 BC=0x68F1 DE=0x0000 SP=0xFFFF OP=0x20
[235] PC=0x0004 A=0xF9 HL=0x0000 BC=0x68F1 DE=0x0000 SP=0xFFFF OP=0x0B
[236] PC=0x0005 A=0xF9 HL=0x0000 BC=0x68F0 DE=0x0000 SP=0xFFFF OP=0x78
[237] PC=0x0006 A=0x68 HL=0x0000 BC=0x68F0 DE=0x0000 SP=0xFFFF OP=0xB1
